Phase,Trial,CharID,Target,Recalled,Score,Success,MemorySize
P1-4,4,0x4f57,佗,佗,1.0000,True,1000
P1-4,5,0x4f57,佗,佗,1.0000,True,1000
P1-4,6,0x4f57,佗,佗,1.0000,True,1000
P1-4,7,0x4f57,佗,佗,1.0000,True,1000
P1-4,8,0x4f57,佗,佗,1.0000,True,1000
P1-4,9,0x4f57,佗,佗,1.0000,True,1000
P1-4,0,0x4f58,佘,佘,1.0000,True,1000
P1-4,1,0x4f58,佘,佘,1.0000,True,1000
P1-4,2,0x4f58,佘,佘,1.0000,True,1000
P1-4,3,0x4f58,佘,佘,1.0000,True,1000
P1-4,4,0x4f58,佘,佘,1.0000,True,1000
P1-4,5,0x4f58,佘,佘,1.0000,True,1000
P1-4,6,0x4f58,佘,佘,1.0000,True,1000
P1-4,7,0x4f58,佘,佘,1.0000,True,1000
P1-4,8,0x4f58,佘,佘,1.0000,True,1000
P1-4,9,0x4f58,佘,佘,1.0000,True,1000
P1-4,0,0x4f59,余,余,1.0000,True,1000
P1-4,1,0x4f59,余,余,1.0000,True,1000
P1-4,2,0x4f59,余,余,1.0000,True,1000
P1-4,3,0x4f59,余,余,1.0000,True,1000
P1-4,4,0x4f59,余,余,1.0000,True,1000
P1-4,5,0x4f59,余,余,1.0000,True,1000
P1-4,6,0x4f59,余,余,1.0000,True,1000
P1-4,7,0x4f59,余,余,1.0000,True,1000
P1-4,8,0x4f59,余,余,1.0000,True,1000
P1-4,9,0x4f59,余,余,1.0000,True,1000
P1-4,0,0x4f5a,佚,佚,1.0000,True,1000
P1-4,1,0x4f5a,佚,佚,1.0000,True,1000
P1-4,2,0x4f5a,佚,佚,1.0000,True,1000
P1-4,3,0x4f5a,佚,佚,1.0000,True,1000
P1-4,4,0x4f5a,佚,佚,1.0000,True,1000
P1-4,5,0x4f5a,佚,佚,1.0000,True,1000
P1-4,6,0x4f5a,佚,佚,1.0000,True,1000
P1-4,7,0x4f5a,佚,佚,1.0000,True,1000
P1-4,8,0x4f5a,佚,佚,1.0000,True,1000
P1-4,9,0x4f5a,佚,佚,1.0000,True,1000
P1-4,0,0x4f5b,佛,佛,1.0000,True,1000
P1-4,1,0x4f5b,佛,佛,1.0000,True,1000
P1-4,2,0x4f5b,佛,佛,1.0000,True,1000
P1-4,3,0x4f5b,佛,佛,1.0000,True,1000
P1-4,4,0x4f5b,佛,佛,1.0000,True,1000
P1-4,5,0x4f5b,佛,佛,1.0000,True,1000
P1-4,6,0x4f5b,佛,佛,1.0000,True,1000
P1-4,7,0x4f5b,佛,佛,1.0000,True,1000
P1-4,8,0x4f5b,佛,佛,1.0000,True,1000
P1-4,9,0x4f5b,佛,佛,1.0000,True,1000
